,RobotName,MovieName,Year,Contents,image,price,class,clusters
10,Armor-Suited Robots,Flash Gordon ,1936,"Flash Gordon (1936) (aka Space Soldiers) Ming's Army/Guards (possibly non-robotic!) In this popular 13-part serial, blonde polo player Flash Gordon (Larry 'Buster' Crabbe) and Dale Arden (Jean Rogers) joined up with Dr. Zarkov (Frank Shannon) on his home-made rocketship and went to the planet Mongo to confront the evil ruling emperor, Ming the Merciless (Charles Middleton), with pretty daughter Princess Aura (Priscilla Lawson). At the time, the planet Mongo was on a collision course with Earth. Zarkov was able to persuade Ming to stop Mongo's destructive path, although the tyrannical Ming then decided to take over Earth himself - and abduct Dale for himself. In the first chapter, Flash, Dale, and Zarkov were taken prisoner by Officer Torch and two helmeted, mechanized robotic guards. Ming's deadly army was composed of mechanical robotic soldiers with scientifically-advanced rifles. When they went outside, the guards appeared to be wearing some kind of undergarment under their armored suits. [Note: Some regarded the army's soldiers as non-robotic, as per the comic strip which portrayed the guards as human when they took off their helmets.]",http://www.filmsite.org/robots/flashgordon2.jpg,0,neg,0
11,,Undersea Kingdom ,1936,"Undersea Kingdom (1936) Volkites This early Republic Pictures serial (with twelve episodes or chapters) was produced in haste to compete with Universal's Flash Gordon (1936) serials. It starred naval action hero Lt. Ray ""Crash"" Corrigan (Ray Corrigan) and featured the lost city of Atlantis at the bottom of the sea. Trash can-like robot soldiers with zap rays guns (Atomguns) called Volkites were commanded by warlord Unga Khan (Monte Blue), the evil tyrannical ruler of the Black Robes and remote-controlled by his henchman Captain Hakur (Lon Chaney, Jr.).",http://www.filmsite.org/robots/underseakingdom.jpg,0,neg,2
12,,The Phantom Creeps ,1939,"The Phantom Creeps (1939) ""Iron Man"" Bela Lugosi starred in his last serial, Universal's 12-part serial titled The Phantom Creeps, as mad scientist Dr. Alex Zorka intent on taking over the world. He invented a fearsome, slow-moving 8-foot golem-like iron monster or robot that he referred to as ""his iron man"" (played by 7'4"" tall stuntman Ed Wolff). The robot was remote-controlled, designed to ""crush all opposition and make me the most powerful man in the world"" - according to Dr. Zorka.",http://www.filmsite.org/robots/phantomcreeps.jpg,0,neg,0
13,The Tin Woodman (Jack Haley),The Wizard of Oz ,1939,"The Wizard of Oz (1939) The Tin Man (aka The Tin Woodman) In this beloved musical fantasy film, the Tin Man (Jack Haley) (aka The Tin Woodman in L. Frank Baum's original book) was one of the fanciful characters in the Wonderful Land of Oz. In fact in the novel, however, the Tin Woodman was originally born human as Nick Chopper, but because of many accidents with his own axe, he was forced to replace all of his body parts and limbs with tin - becoming a cyborg! He was a silver-faced, funnel-capped robot who joined Dorothy (Judy Garland) on her journey to Oz' Wizard in the Emerald City to request a heart to fill his hollow chest (""The tinsmith forgot to give me a heart"" and ""If I only had a heart...""). He was first found rusted immobile from moisture and needed to be oiled to begin moving again. Others who played the Tin Man in film include: Oliver Hardy in the silent The Wizard of Oz (1925) Al Joseph in The Wonderful Land of Oz (1969) Nipsey Russell in the adaptation The Wiz (1978) Deep Roy in Return to Oz (1985)",http://www.filmsite.org/robots/wizardofoz.jpg,0,neg,2
14,"""Killer"" Robot",Mysterious Doctor Satan ,1940,"Mysterious Doctor Satan (1940) (aka Doctor Satan's Robot) ""Killer"" Robot Director William Witney's sci-fi thriller, a Republic Pictures serial of 15 episodes, featured a steel ""killer"" robot (Tom Steele). It was the creation of mad, megalomaniac scientist Doctor Satan (Edward Cianelli). His desire was to rule the world with an army of deadly killer robots. Doctor Satan was opposed by a masked man known as The Copperhead (actually Bob Wayne (Robert Wilcox)), who was seeking revenge for the death of his step-father. The mechanical humanoid was a boxy and bulky robot that lumbered around - basically an elongated tin can (or hot water boiler) with arms extending off square-cut shoulders. The Republic Pictures serial was later re-released in full-length as a TV film in 1966, and renamed Doctor Satan's Robot. [Note: These robots were recycled and updated from Undersea Kingdom (1936) and they would appear again in Zombies of the Stratosphere (1952)].",http://www.filmsite.org/moviescreens/drsatansrobot.jpg,0,neg,0
15,"""Dynamo Dan""",Man Made Monster ,1941,"Man Made Monster (1941) (aka The Atomic Monster) 'Dynamo' Dan McCormick This little-known and obscure low-budget Universal horror (and sci-fi) film from writer/director George Waggner was about a man tragically turned into a monster - reminiscent of the cycle of Frankenstein films. Affable and naive blue collar worker Dan McCormick (Lon Chaney, Jr., in his first horror film, pre-The Wolf Man (1941)) was the sole survivor of a passenger bus crash that electrocuted all of the other passengers when it plowed into an electrical tower. Dan was a sideshow performer known as ""Dynamo Dan, the Electric Man"" in a local carnival where he pretended to 'absorb' electricity. Kind-hearted, ethical scientist Dr. John Lawrence (Samuel Hinds) and his disturbed mad partner Dr. Paul Rigas (Lionel Atwill) were intrigued that Dan survived a potentially fatal electrocution, presumably due to his immunity or built-up resistance to electricity. Rigas believed that he could test his theories in human electro-biology on Dan. During bizarre experiments to harness electricity's power in Lawrence's lab in his Gothic estate complex known as The Moors, Rigas ran higher and higher doses of electricity through Dan's body to increase his strength - temporarily. The effect was like a powerful drug - Dan's tolerance was increased and made him into an addicted 'electric junkie.' To make the effect even more permanent, Rigas increased the dosage of electricity - but transformed Dan into an electro-biological man-creature hybrid - an electrical zombie or superman requiring constant bolts of electricity to survive. Dan had also become a mindless and brutish creature without free will - a servant to do Rigas' murderous bidding. A rubber suit (with gloves) was constructed for Dan to wear when fully charged, to conserve and stop electrical leakage, insulate him and retain his strength, and to prevent Dan from accidentally touching someone and electrocuting them. Rigas______ crazed egotistical idea and motive behind it all was to create a new race of supercharged electro-zombies or cyborgs controlled and enslaved to him (""There you are, not Dan McCormick, but something I created, obeying my will! I can give you life, or take it from you...Look, there he stands, the shell of a man electrically alive. Every impulse controlled by me""). Rigas admitted to Lawrence that he was indeed ""mad"" and had ""conquered destiny."" He boasted about his marvelous discovery, although it had taken the life away from McCormick: ""Think of an army of such creatures, doing the work of the world, fighting its battles. Look at him, the worker of the future, controlled by a superior intelligence. We must assemble all the great scientists and show them this creature...What is one life compared to this discovery. Aw, he'll live, a beautiful existence - no pain, no sorrow."" Threatened when colleague Dr. Lawrence threatened to call the police and report that Rigas had ""destroyed a human being"", Rigas ordered Dan to kill his partner (""Stop him!""). Dan was ordered to confess to the homicide, and subsequently, Dan was subjected to the electric chair (which didn't harm him, but only supercharged him). Dan then murdered the prison warden and the guards and escaped into the countryside to terrorize the local population. In the film's conclusion, Dan rescued Lawrence's heroine daughter June (Anne Nagel) from Rigas, then killed his own creator, and lost his own life when his rubber suit became entangled in barbed wire, and the electricity leaked out into the steel wires and instantly killed him.",http://www.filmsite.org/moviescreens/manmademonster.jpg,0,neg,0
16,,The Mechanical Monsters ,1941,"""The Mechanical Monsters"" (1941) (Superman short animated cartoon) ""Mechanical Monsters"" The Fleischer Brothers created this 10 minute-long animated short film (for Paramount Studios), titled ""The Mechanical Monsters."" It was the second of seventeen Technicolored Superman cartoons released in the early 1940s. It told about a group of giant robots (created by a mad scientist) with flamethrowers in their heads that were attacking the metropolis of Gotham City. They were equipped with a propeller and were able to fly, and the body of the robot was big enough to hold a man (seen with Superman's X-ray vision). After robbing a bank and a jewelry exhibit (with $50 million dollars worth of the ""world's rarest gems""), one of the robots abducted Lois Lane (voice of Joan Alexander) - forcing Clark Kent/Superman (voice of Bud Collyer) to come to the rescue. Superman entered the lair of the mustached villain, where he was confronted by the army of multiple robots who attacked with their flamethrowers and beat him down. He counter-attacked, smashed the mechanical monsters, saved Lois from being splashed by molten metal, and brought the villain to justice. The headlines and story (by Lois Lane) in the Daily Planet read: ""Superman Destroys Mechanical Monsters - Inventor Jailed, Millions in Stolen Jewels Recovered.""",http://www.filmsite.org/robots/mechanicalmonsters.jpg,50,neg,2
17,"Penelope Belman (Patricia Roc) (l to r): Olga, Penelope, Professor Belman",The Perfect Woman ,1949,"The Perfect Woman (1949, UK) Olga This amusing, sometimes humorous, politically-incorrect British farce (based on a 1948 play by Wallace Geoffrey and Basil Mitchell) was directed by Bernard Knowles. The sci-fi romantic comedy (a strange hybrid) was a version of American 'screwball' comedy, about the ultimate remote-controlled 'perfect robot' - and robot impersonation. Dotty old inventor, absent-minded Professor Ernest Belman (Miles Malleson) had created a ""perfect woman"" robot, named Olga (Pamela Devis), made to resemble his pretty young niece Penelope (Patricia Roc). A panel on the back of the synthetic robot opened to reveal gears, circuitry, and inner workings. He boasted about his unique, synthetic robot to housekeeper Mrs. Butters (Irene Handl), comparing the robot favorably to Penelope - who was only one of millions of flesh-and-blood females: After all...only just another young woman. Flesh and blood and a little calcium...There are millions of them. Mass production. There's only one Olga. He demonstrated how the robot promptly responded to his explicit direct commands: ""Head right, head left, head up."" Olga with Mrs. Butters and Professor Belman ""Perfect Woman"" Olga (Pamela Devis) Olga's Insides At one point, Penelope asked her uncle about being the model for the robot: Penelope: ""Oh uncle, why did you make it like me?"" Professor: ""Well, my dear, I call it the perfect woman..Where else should I find such a model? Yes, it was either you or Mrs. Butters."" Penniless aging playboy Roger Cavendish (Nigel Patrick) and his valet Ramshead (Stanley Holloway) were hired by the inventor to escort Olga, the ""perfect woman"" robot, for a night on the town - as a test run, before he presented Olga to a group of scientists. Roger had asked why Belman called Olga the 'perfect' woman, and was told: ""Well, she does exactly what she's told. She can't talk. She can't eat. And you can leave her switched off under a dust sheet for weeks at a time."" It turned out during the evening that playful Penelope - to amuse herself - was actually secretly impersonating the artificial woman Olga. The group ended up in the bridal suite at the fashionable Hotel Splendide. False rumors that Roger was getting married soon reached his aunt, Lady Mary (Philippa Gill), who returned immediately from Paris to stop the proceedings. The farce escalated to the point where Roger and Penelope realized that they loved each other. Their mutual declaration sent Olga crazy - (she was programmed to go haywire if she heard the word 'love') and she self-destructively blew up - destroying part of the hotel and herself.",http://www.filmsite.org/moviescreens/perfectwoman4.jpg,0,neg,1
18,Gort Klaatu The 2008 Remake,The Day The Earth Stood Still ,1951,"The Day The Earth Stood Still (1951) and The Day the Earth Stood Still (2008) GORT (Genetically-Organized Robotic Technology) Director Robert Wise's seminal science fiction film in motion picture history contained an anti-nuclear war message during the Cold War. It featured a giant, nine-foot tall, all-powerful, mighty, menacing and massive metallic robot companion-protector named Gort (Lock Martin), with a featureless face dissected by an opening visor, smooth metallic surface, straight legs (without knee joints), boots for shoes, and fixed mitten-styled hands (without joints or fingers). The robot did not talk. Gort was a prototypical Terminator and Robocop character and similar to the Tin Woodsman in The Wizard of Oz (1939). Gort's origin was as a green robot named Gnut in Harry Bates' 1940 short story Farewell to the Master - unlike the film, in the short story, Gnut was ""the master."" After a huge flying saucer landed on the mall in Washington, DC in 1951, a benevolent, humanoid, interplanetary alien visitor named Klaatu (Michael Rennie) who was seeking peace emerged down a ramp, followed to everyone's amazement by silent, killer bodyguard Gort - who had the ability to zap (vaporize or melt) weapons or tanks with a lethal, disintegration laser beam heat-ray behind his sliding visor. The robot, an interstellar guardian - a member of a police force, had the power to destroy worlds such as Earth, whose inhabitants were intent on destruction, aggression, and hostility. However, his main objective was to warn Earth to establish peace - and to demonstrate his power, he shut down the world's power supply (hence, the film's title ""The Day the Earth Stood Still""). One of the most famous 3-word phrases in science fiction history was recited by single mother/widow Helen Benson (Patricia Neal) to stop Gort's destructive rampage when Klaatu was killed: ""Gort, Klaatu barada nikto."" The film ended with the alien visitor's resurrection and a warning-proclamation as an ultimatum for disarmament: ""...But if you threaten to extend your violence, this Earth of yours will be reduced to a burned-out cinder. Your choice is simple. Join us and live in peace, or pursue your present course and face obliteration. We shall be waiting for your answer. The decision rests with you."" In the film's 2008 remake with Keanu Reeves (as Klaatu) and Jennifer Connelly (as Helen Benson), the spaceship landed in New York's Central Park, with the theme of ecological damage rather than nuclear war. Gort was portrayed with the magic of CGI, and was about 28 feet tall, with five-fingered hands (but feet without digits). He was without a visor, but still possessed the trademark eye-beam that could project destructive forces. Gort's composition was of microscopic insect-like devices ('nano-machines') or bugs that could swarm around an object and completely disintegrate it.",http://www.filmsite.org/filmfotos/dayearthstill.jpg,0,neg,2
19,,Mother Riley Meets the Vampire ,1952,"Mother Riley Meets the Vampire (1952, UK) (aka My Son, the Vampire, and Vampire Over London) Mark 1 In this awful B-movie vampire satire and horror comedy (the last in a long-running series of Mother Riley films), Central European mad scientist Von Housen (Bela Lugosi), known as the ""Vampire"" and intent on world domination, created a uranium-powered, 6 foot-tall slave robot named Mark 1. Robot Mark 1 was ordered to kidnap Irish grocery store owner and washerwoman Mother Riley (Arthur Lucan in drag costume) and bring her to Von Housen's mansion. Von Housen's intent was to build an army of 50,000 robots, but he had only completed one robot due to the scarcity of uranium to power them. In one of the film's more memorable scenes, Mother Riley wrestled the robot and dismantled it, to come to the rescue.",http://www.filmsite.org/robots/motherriley.jpg,0,neg,0
20,Ro-Man Great Guidance Death of Roy Ro-Man Kidnapping Alice Great Guidance Zapping Ro-Man,Robot Monster ,1953,"Robot Monster (1953) Ro-Man (Extension XJ-2) Although this was one of the worst, poorly-edited, and incompetent evil robot, sci-fi B films ever made (and available in 3-D), the awful film also had an old-fashioned, endearing quality to it. It was released at the same time as Invaders From Mars (1953), with similar plot points. In this alien-invasion film, evil Moon robot, Ro-Man Extension XJ-2 (George Barrows, voice of John Brown) - a seven foot tall, alien race robot, resembled a man wearing a gorilla suit/outfit with an antique diving helmet. He was equipped with a deadly weapon called a Calcinator Death Ray and was sent to Earth from the Moon. He was being directed by his creator and alien leader The Great Guidance (George Barrows again) to destroy Earth's inhabitants. After committing mass genocide of the entire human race, there were only eight surviving humans who were immune to the ray due to an antibiotic serum. They included: an older scientist-archaeologist known as The Professor (John Mylong) his assistant scientist Roy (George Nader) a widowed Mother (Selena Royale), but also married in the dream (?!) two daughters, the eldest Alice (Claudia Barrett) and the youngest Carla (Pamela Paulson) young son Johnny (Gregory Moffett) two space pilots Ro-Man began to kill off the survivors. He first killed the two pilots, then strangled Carla, and threw Roy (newly married to Alice) off a cliff to his death. But he had fallen - illogically - in love with Alice and tried to abduct her. Ro-Man wanted to be Hu-Man, and his desires for Alice caused conflict with The Great Guidance who had other plans: ""Fact: You have captured the girl and not destroyed her. Fact: You have delayed accepting the surrender of the others. This verges on failure."" Thinking for himself (like humans) and rejecting the original plan, Ro-Man suggested his own plan as he complained: ""Yes, to be like the Hu-Man, to laugh, feel, want, why are these things not in the plan?"" Disobedient servant Ro-Man, who would not destroy the girl or the family, was killed by zapping, after which the Great Guidance teleported to Earth to finish the job with deadly Q-rays. The Great Guidance released prehistoric reptiles (to devour any remains of life) and a massive earthquake that split the Earth open. But then it was all revealed that Johnny had suffered a forehead concussion, and the entire story was his fever-dream or nightmare (""Boy, was that a dream, or was it?""). Alice told Johnny that he should stop overdoing it with his belief in space-robots: ""There simply aren't any such things."" But as they left the cave opening, a threatening Ro-Man appeared from the darkness.",http://www.filmsite.org/moviescreens/robotmonster2.jpg,0,neg,0
